player_id,name,MIN,FG%_Impact,FT%_Impact,zFG%,zFT%,z3PTM,zPTS,zREB,zAST,zST,zBLK,zTO,Total_Value
203999,Nikola Jokić,35.0,2.543,0.379,7.059,1.536,1.309,2.325,3.539,5.513,1.543,1.005,-2.536,12.698
1630530,Trey Murphy III,35.5,0.315,0.454,0.874,1.838,1.844,1.368,1.244,0.957,2.155,-0.393,-1.012,6.163
1630559,Austin Reaves,36.9,0.622,0.842,1.728,3.411,1.951,2.105,0.894,2.954,0.725,-0.393,-2.427,5.808999999999999
202331,Paul George,26.2,-0.313,0.268,-0.87,1.087,1.737,0.929,0.661,0.832,1.543,0.073,-0.686,5.089000000000001
1628973,Jalen Brunson,35.1,0.411,0.33,1.141,1.336,1.951,2.215,-0.078,2.767,0.113,-0.626,-1.339,5.003
1629675,Naz Reid,26.4,-0.067,-0.023,-0.187,-0.091,1.523,0.577,1.089,0.333,0.725,1.005,-0.359,4.893
1631096,Chet Holmgren,28.8,1.313,-0.025,3.646,-0.101,0.559,1.105,1.828,-0.229,-0.092,2.636,-1.012,4.795
1641717,Cason Wallace,27.7,-0.203,0.007,-0.563,0.027,0.559,-0.028,-0.078,0.271,3.381,-0.393,0.076,3.788
203468,CJ McCollum,30.4,-0.332,0.04,-0.922,0.163,2.166,1.127,-0.039,0.895,0.113,-0.16,-0.577,3.5250000000000004
1630200,Tre Jones,28.2,0.378,0.239,1.049,0.968,-0.62,0.423,-0.078,1.831,1.951,-0.16,-0.468,2.879
1641750,Ryan Kalkbrenner,25.6,1.563,-0.116,4.338,-0.469,-1.048,0.027,1.244,-0.915,0.113,3.568,-0.141,2.848
203932,Aaron Gordon,28.3,0.8,0.382,2.22,1.546,1.309,1.116,1.011,-0.416,0.317,-0.393,-0.359,2.585
1631097,Bennedict Mathurin,32.6,-0.24,0.345,-0.665,1.396,1.737,1.258,0.855,0.208,0.113,-0.393,-1.774,2.0040000000000004
203897,Zach LaVine,32.8,0.348,0.268,0.965,1.087,1.844,1.269,-0.117,0.208,0.113,-0.393,-1.23,1.6940000000000004
1631170,Jaime Jaquez Jr.,29.2,0.56,-0.074,1.554,-0.301,-0.727,0.742,0.972,1.893,0.317,-0.393,-1.23,1.5740000000000005
